DisProt_ID,UniProt_ID
DP04184,P68633
DP04185,C1LGM4
DP04186,C7G3K3
DP04187,O25506
DP04188,P49748
DP04189,P29372
DP04190,P03170
DP04191,Q99P72
DP04192,P69019
DP04193,P12969
DP04195,Q4WE50
DP04196,Q12285
DP04197,P35187
DP04198,P26663
DP04199,Q9C7W1
DP04200,A0A078IB52
DP04201,Q9LYG9
DP04202,P0A567
DP04203,P9WNK7
DP04208,T2B9R0
DP04210,Q9FN03
DP04211,Q9BZV1
DP04214,P40399
DP04215,Q9JK62
DP04216,P0CAV4
DP04217,Q2KHT3
DP04218,Q9V9N4
DP04219,O95433
DP04220,Q9H4H8
DP04221,Q8GJM6
DP04225,A0A7M7G9Q4
DP04226,Q93K76
DP04227,P40727
DP04228,O67813
DP04229,P9WFG9
DP04230,P43769
DP04231,P23023
DP04232,Q3U0P1
DP04233,P9WMI9
DP04234,O88574
DP04235,Q03390
DP04236,Q06263
DP04237,Q8N5K1
DP04239,P53355
DP04240,Q8GXC2
DP04241,P15146-3
DP04242,P45973
DP04243,A0A0H2UWN8
DP04244,P40205
DP04246,Q4KL64
DP04247,Q8QL46
DP04248,C8ZKB3
DP04249,Q1D3H3
DP04250,P0DJL7
DP04251,O60832
DP04252,Q9NX24
DP04253,Q9NY12
DP04255,O60016
DP04256,P54820
DP04257,Q9NZI8
DP04258,Q15022
DP04259,Q9H9Q4
DP04260,P07196
DP04261,P02489
DP04262,P04792
DP04263,P18848
DP04264,Q5SWA1
DP04267,Q9NPD8
DP04268,P93830
DP04270,Q8WXC6
DP04271,P02647
DP04272,Q9V2F4
DP04273,P33609
DP04274,Q9Y2G2
DP04275,Q84T68
DP04276,Q13613
DP04277,Q8N465
DP04278,Q9UMY1
DP04279,P49815-5
DP04280,P19970
DP04281,P68431
DP04283,P69229
DP04284,Q8TDX7
DP04285,Q9UK59
DP04286,Q8TAP9
DP04287,O14907
DP04288,P29066
DP04290,Q9V6Q2
DP04294,I1KDC1
DP04295,Q9Y572
DP04296,Q12517
DP04297,Q9NPJ4
DP04298,Q13546
DP04299,O43353
DP04300,Q9UBB9
DP04301,Q75PQ8
DP04302,P06897
DP04303,P02281
DP04304,Q8I0V0
DP04305,E6Y8B9
DP04306,Q8I384
DP04307,Q86T24
DP04308,P43586
DP04309,Q9UJY1
DP04310,A0AVK6
DP04311,P84101
DP04312,R4IT35
DP04313,P41746
DP04314,P05412
DP04315,P39687
DP04316,P12978
DP04317,P10221
DP04318,Q53HL2
DP04319,P43912
DP04320,Q8WYQ5
DP04324,Q969S2
DP04325,O95714
DP04326,Q86YC2
DP04327,G5EET6
DP04330,O82089
DP04332,B2CZL6
DP04337,O60158
DP04339,Q9FGJ3
DP04340,P17433
DP04341,P08551
DP04342,P36012
DP04343,P0DOW4
DP04344,Q7BTX0
DP04347,P28360
DP04348,Q96PD5
DP04349,Q8N114
DP04352,A0A564ZT73
DP04353,Q8IJW6
DP04354,P17770
DP04355,O82415
DP04356,A0A2I6B3P0
DP04357,Q8RY79
DP04358,P20711
DP04359,Q8I3X4
DP04360,Q8II92
DP04361,Q8I5Q6
DP04362,Q9BH77
DP04363,Q6UCJ9
DP04364,P0AEK4
DP04366,Q9TY48
DP04367,P23229
DP04368,Q99PZ6
DP04369,A0A0H3JPC6
DP04370,L7N667
DP04371,P40296
DP04372,P0A367
DP04373,P9WI79
DP04374,Q8ILP3
DP04375,P71875
DP04376,Q9I0F4
DP04377,Q51693
DP04378,O82882
DP04379,Q8DR55
DP04380,P15917
DP04381,P0CL43
DP04382,P21860
DP04383,D0ZRB2
DP04384,Q7BCK4
DP04385,Q9ZKJ5
DP04386,Q45914
DP04387,A0A0H2XCS3
DP04388,Q86VY4
DP04390,A1C3L3
DP04391,A0AAI7ZGD2
DP04392,Q83RJ4
DP04393,P31489
DP04394,P0C7U7
DP04395,P9WNI7
DP04396,P9WGU1
DP04397,Q5ZTK6
DP04398,Q5ZTK4
DP04399,P08062
DP04401,A0AAI8ESY0
DP04404,A0AAP2LXV8
DP04406,Q8CGN5
DP04407,A9UJZ9
DP04408,Q38AU6
DP04409,Q54HW9
DP04410,D3UFE5
DP04411,Q99181
DP04412,Q4QHJ8
DP04413,P61830
DP04414,P04911
DP04415,P02294
DP04416,O53692
DP04328,P32833
